Kandidát,FB Účty,Google účty,WP tag,Info,Záverečná správa,Kampaň,Predkampaň
Krisztián Forró,1009998019021765,,940,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/130_prezident/p24_kampan/P24_Forro.pdf,"100575,46",0
Štefan Harabin,1680731138870391,AR18066176814136426497,938,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/130_prezident/p24_kampan/P24_Harabin.pdf,"44967,65","12787,3"
Ivan Korčok,1185998661417403,AR06015691895273947137,936,1,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/130_prezident/p24_kampan/P24_Korcokl.pdf,"406236,68","93685,81"
Ján Kubiš,106795542522284,,937,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/130_prezident/p24_kampan/P24_Kubis.pdf,"128631,32","11267,41"
Peter Pellegrini,403027089864701,AR05393289149115531265,939,2,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/130_prezident/p24_kampan/P24_Pellegrini.pdf,"499451,3",0
Andrej Danko,1495199624026639,,942,0,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/130_prezident/p24_kampan/P24_Danko.pdf,"27858,85",0
Igor Matovič,,,943,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/130_prezident/p24_kampan/P24_Matovic.pdf,0,0
Marian Kotleba,103101388140837,,944,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/130_prezident/p24_kampan/P24_Kotleba.pdf,"8036,3",0
Milan Náhlik,102732557968610,,945,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/130_prezident/p24_kampan/P24_Nahlik.pdf,0,0
Patrik Dubovský,,,946,,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/130_prezident/p24_kampan/P24_Dubovsky.pdf,"532,9",0
Róbert Švec,252998972461,,950,0,https://www.minv.sk/swift_data/source/verejna_sprava/volby_a_referendum/130_prezident/p24_kampan/P24_Svec.pdf,"4498,04",0
