Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
109628675248068,JOJ 24,JOJ 24,38486,50
1185998661417403,Ivan Korčok,Ivan Korčok,19907,43
403027089864701,Peter Pellegrini,Peter Pellegrini,6871,87
254427098315,Tipsport SK,Tipsport SK,4410,7
238602509344380,Národná petícia,narodnapeticia.sk,2001,22
100612851457308,Matúš Šutaj Eštok,Matúš Šutaj Eštok,1643,68
70746153342,VÚB banka,VÚB banka,1002,2
101069575386725,Slovensko Zálohuje,‍Správca zálohového systému n.o.,939,4
193258414360612,Milan Uhrík • Republika,REPUBLIKA,913,6
188067335135140,STRABAG Slovensko,Strabag Slovensko,853,33
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,832,7
1552624815015371,SPP - distribúcia,SPP - distribúcia,825,6
178362315106,European Parliament,European Parliament,756,20
741515582611947,KOŠICE:DNES,"KOŠICE: DNES ONLINE, družstvo",739,9
571160823088196,Mladí proti fašizmu,"Mladí, o.z.",684,2
102200698451761,Gyimesi György,Gyimesi György,591,9
284286428093450,Dôležité pre vašu budúcnosť,ivankorcok2024.sk,539,4
100686359349358,Martina Holečková,Martina Holečková,489,6
171511222871512,Televízia JOJ,Televízia JOJ,470,2
484734501561007,Kaufland Slovenská republika,Kaufland Slovenská republika v.o.s.,467,3
102146246492040,SMER - SSD,SMER - SD,450,5
117702164538164,Záhradkársky Veľtrh Trenčín,Záhradkársky Veľtrh Trenčín,441,27
172396033788,MEMO 98,MEMO 98,438,2
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,424,2
1555021474808039,Richard Takáč - minister pôdohospodárstva a rozvoja vidieka,SMER - SD,412,10
185784721289451,Braňo Ondruš,Braňo Ondruš,408,6
207289726707929,Milan Mazurek • Republika,REPUBLIKA,378,1
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,378,15
163449818290,KDH,KDH,345,6
2322076957827734,Ladislav Kamenický - minister financií SR,SMER - SD,329,7
186953775142661,ESET,"ESET, spol. s r.o.",306,11
104956759364215,Voľte s rozumom o.z.,Voľte s rozumom o.z.,296,8
132166557016,Liga za duševné zdravie SR,Liga za duševné zdravie SR,249,9
190925997447058,365.bank - Banka pre dnešných ľudí,"365.bank, a. s.",240,5
309315359104222,Milan Majerský,KDH,240,2
594790970995799,Miriam Lexmann,KDH,238,3
802573516467334,Juraj Blanár,SMER - SD,230,5
1461718484118285,Niké je tipovanie,Niké je tipovanie,225,3
277077069455,Transparency International Slovensko,Transparency International Slovensko,208,7
732167026967322,Robert Fico,SMER - SD,200,1
101038892907757,Mikuláš Dzurinda,"Modrí, Most - Híd",193,2
608493236475568,Pavol Slota • DOMOV - Národná strana,DOMOV národná strana,184,4
1643155275828458,Ján Mažgút,SMER - SD,150,3
136261775977,SITA Webnoviny,SITA Slovenská tlačová agentúra a.s.,139,84
676942185691820,Slovak Parcel Service,Slovak Parcel Service,134,2
730919327293761,Miroslav Radačovský • predseda strany Slovenský Patriot a europoslanec,Slovenský PATRIOT,128,5
151962591495628,Richard Raši,HLAS - sociálna demokracia,128,10
45533785629,Nadácia Pontis,Nadácia Pontis,126,8
1578280295823003,Nadácia ZSE,Nadácia ZSE,123,6
"1,47284E+15",Nadácia Zastavme korupciu,Nadácia Zastavme korupciu,120,8
557862947737785,Progresívne Slovensko,Progresívne Slovensko,111,3
324560137683033,Ivan ŠTEFANEC,KDH,104,5
1902930980016117,MY Regióny,"Petit Press, a.s., Divízia týždenníkov, o. z.",102,1
